exchange,stock_symbol,date,stock_price_open,stock_price_high,stock_price_low,stock_price_close,stock_volume,stock_price_adj_close
NASDAQ,DYAX,2009-03-10,2.16,2.34,2.14,2.29,255200,2.29
NASDAQ,DYAX,2009-03-09,2.15,2.43,2.06,2.10,134000,2.10
NASDAQ,DYAX,2009-03-06,2.11,2.29,2.07,2.17,141600,2.17
NASDAQ,DYAX,2009-03-05,2.34,2.35,2.04,2.07,243800,2.07
NASDAQ,DYAX,2009-03-04,2.49,2.49,2.29,2.40,410500,2.40
NASDAQ,DYAX,2009-03-03,2.18,2.51,2.00,2.50,3090400,2.50
NASDAQ,DYAX,2009-03-02,1.80,3.13,1.80,2.16,2019500,2.16
NASDAQ,DYAX,2009-02-27,1.86,1.97,1.86,1.88,266400,1.88
NASDAQ,DYAX,2009-02-26,1.95,1.99,1.89,1.90,309300,1.90
NASDAQ,DYAX,2009-02-25,2.03,2.11,1.97,1.97,245300,1.97
NASDAQ,DYAX,2009-02-24,1.91,2.03,1.86,2.01,255000,2.01
NASDAQ,DYAX,2009-02-23,2.03,2.06,1.86,1.89,206600,1.89
NASDAQ,DYAX,2009-02-20,2.00,2.10,1.99,2.00,158000,2.00
NASDAQ,DYAX,2009-02-19,2.10,2.15,2.01,2.04,165700,2.04
NASDAQ,DYAX,2009-02-18,2.03,2.14,2.01,2.06,251700,2.06
NASDAQ,DYAX,2009-02-17,2.06,2.06,1.99,2.01,177100,2.01
NASDAQ,DYAX,2009-02-13,2.11,2.21,1.96,2.09,331900,2.09
NASDAQ,DYAX,2009-02-12,2.35,2.35,1.98,2.11,559800,2.11
NASDAQ,DYAX,2009-02-11,2.35,2.40,2.06,2.39,634100,2.39
NASDAQ,DYAX,2009-02-10,2.40,2.52,2.31,2.31,260500,2.31
NASDAQ,DYAX,2009-02-09,2.52,2.55,2.40,2.42,251000,2.42
NASDAQ,DYAX,2009-02-06,2.68,2.94,2.48,2.52,668700,2.52
NASDAQ,DYAX,2009-02-05,2.90,3.05,2.10,2.66,1373800,2.66
NASDAQ,DYAX,2009-02-04,2.98,2.98,2.98,2.98,000,2.98
NASDAQ,DYAX,2009-02-03,3.40,3.40,2.92,2.98,1245300,2.98
NASDAQ,DYAX,2009-02-02,3.24,3.67,3.08,3.37,1209700,3.37
NASDAQ,DYAX,2009-01-30,3.22,3.59,3.22,3.36,210700,3.36
NASDAQ,DYAX,2009-01-29,3.31,3.43,3.10,3.12,215300,3.12
NASDAQ,DYAX,2009-01-28,3.18,3.35,3.11,3.35,155900,3.35
NASDAQ,DYAX,2009-01-27,2.90,3.13,2.89,3.11,112800,3.11
NASDAQ,DYAX,2009-01-26,2.78,2.99,2.78,2.85,218500,2.85
NASDAQ,DYAX,2009-01-23,2.83,2.99,2.77,2.79,112500,2.79
NASDAQ,DYAX,2009-01-22,3.03,3.11,2.82,2.88,99500,2.88
NASDAQ,DYAX,2009-01-21,2.94,3.13,2.89,3.10,195800,3.10
NASDAQ,DYAX,2009-01-20,3.14,3.17,2.86,2.88,161800,2.88
NASDAQ,DYAX,2009-01-16,3.38,3.38,3.05,3.13,146800,3.13
NASDAQ,DYAX,2009-01-15,3.24,3.37,2.86,3.36,185800,3.36
NASDAQ,DYAX,2009-01-14,3.39,3.39,3.21,3.24,119500,3.24
NASDAQ,DYAX,2009-01-13,3.47,3.60,3.36,3.44,122800,3.44
NASDAQ,DYAX,2009-01-12,3.47,3.56,3.35,3.48,228600,3.48
NASDAQ,DYAX,2009-01-09,3.63,3.68,3.39,3.47,271100,3.47
NASDAQ,DYAX,2009-01-08,3.52,3.65,3.42,3.63,305800,3.63
NASDAQ,DYAX,2009-01-07,3.57,3.60,3.40,3.53,363500,3.53
NASDAQ,DYAX,2009-01-06,3.53,3.73,3.35,3.64,266600,3.64
NASDAQ,DYAX,2009-01-05,3.63,3.69,3.28,3.54,197100,3.54
NASDAQ,DYAX,2009-01-02,3.63,3.84,3.55,3.63,237600,3.63
NASDAQ,DYAX,2008-12-31,3.22,3.75,3.10,3.64,409700,3.64
NASDAQ,DYAX,2008-12-30,3.33,3.40,3.05,3.20,138300,3.20
NASDAQ,DYAX,2008-12-29,3.60,3.64,3.25,3.30,72900,3.30
NASDAQ,DYAX,2008-12-26,3.41,3.64,3.26,3.60,119000,3.60
NASDAQ,DYAX,2008-12-24,3.52,3.57,3.27,3.40,45500,3.40
NASDAQ,DYAX,2008-12-23,3.50,3.67,3.38,3.40,103000,3.40
NASDAQ,DYAX,2008-12-22,3.61,3.71,3.22,3.52,198900,3.52
NASDAQ,DYAX,2008-12-19,3.64,3.85,3.37,3.60,451500,3.60
NASDAQ,DYAX,2008-12-18,3.49,3.68,3.34,3.47,239300,3.47
NASDAQ,DYAX,2008-12-17,3.27,3.53,3.22,3.40,260700,3.40
NASDAQ,DYAX,2008-12-16,3.14,3.44,3.12,3.30,207600,3.30
NASDAQ,DYAX,2008-12-15,3.29,3.36,3.17,3.24,79300,3.24
NASDAQ,DYAX,2008-12-12,3.14,3.29,3.02,3.29,122500,3.29
NASDAQ,DYAX,2008-12-11,3.26,3.40,3.13,3.15,156300,3.15
NASDAQ,DYAX,2008-12-10,3.36,3.43,3.21,3.30,159500,3.30
NASDAQ,DYAX,2008-12-09,3.29,3.63,3.23,3.33,265400,3.33
NASDAQ,DYAX,2008-12-08,2.90,3.34,2.90,3.32,505300,3.32
NASDAQ,DYAX,2008-12-05,2.27,2.89,2.25,2.87,333900,2.87
NASDAQ,DYAX,2008-12-04,2.13,2.51,2.13,2.30,217100,2.30
NASDAQ,DYAX,2008-12-03,2.10,2.54,2.01,2.48,544100,2.48
NASDAQ,DYAX,2008-12-02,2.26,2.39,2.05,2.15,609900,2.15
NASDAQ,DYAX,2008-12-01,2.55,2.55,2.11,2.15,278200,2.15
NASDAQ,DYAX,2008-11-28,2.62,2.90,2.42,2.60,96800,2.60
NASDAQ,DYAX,2008-11-26,2.33,2.75,2.33,2.73,275800,2.73
NASDAQ,DYAX,2008-11-25,2.34,2.43,2.15,2.37,172000,2.37
NASDAQ,DYAX,2008-11-24,2.48,2.70,2.25,2.33,487300,2.33
NASDAQ,DYAX,2008-11-21,2.53,3.29,1.94,2.40,666700,2.40
NASDAQ,DYAX,2008-11-20,2.60,2.71,2.37,2.51,412000,2.51
NASDAQ,DYAX,2008-11-19,3.00,3.18,2.55,2.62,315300,2.62
NASDAQ,DYAX,2008-11-18,3.15,3.22,2.85,2.97,261000,2.97
NASDAQ,DYAX,2008-11-17,3.29,3.41,3.13,3.23,143200,3.23
NASDAQ,DYAX,2008-11-14,3.44,3.75,3.25,3.30,253600,3.30
NASDAQ,DYAX,2008-11-13,2.87,3.50,2.74,3.48,292400,3.48
NASDAQ,DYAX,2008-11-12,3.03,3.22,2.86,2.87,145000,2.87
NASDAQ,DYAX,2008-11-11,3.09,3.31,3.00,3.06,153600,3.06
