exchange,stock_symbol,date,stock_price_open,stock_price_high,stock_price_low,stock_price_close,stock_volume,stock_price_adj_close
NYSE,GE,1981-02-04,60.75,60.88,59.88,60.50,9364800,0.53
NYSE,GJL,2009-04-02,14.89,14.89,14.89,14.89,000,14.43
NYSE,GAB,1997-07-23,7.75,7.80,7.71,7.71,302700,1.78
NYSE,GPJ,2005-09-09,25.56,25.56,25.36,25.39,5600,19.25
NYSE,GBX,2000-09-15,8.50,8.50,8.50,8.50,300,7.59
NYSE,GPN,2007-04-26,38.43,38.69,38.29,38.50,620100,38.29
NYSE,GIL,2007-07-13,34.73,34.83,34.07,34.80,337200,34.80
NYSE,GF,2006-01-23,10.88,10.90,10.80,10.83,49300,9.92
NYSE,GPN,2005-11-23,42.50,43.18,42.15,42.84,542400,42.51
NYSE,GF,2010-02-04,11.65,11.77,11.50,11.51,61400,11.51
NYSE,GPW,2009-08-05,24.89,24.95,24.85,24.95,5200,24.25
NYSE,GTY,2002-11-22,19.00,19.60,18.96,19.57,35500,11.37
NYSE,GXP,1996-10-02,27.00,27.12,26.87,26.87,118900,12.14
NYSE,GMR,2004-08-09,24.50,25.77,24.50,25.38,425200,9.36
NYSE,GGC,1996-05-02,34.42,34.66,34.19,34.19,2200,691.52
NYSE,GD,1977-04-11,20.32,20.32,20.23,20.32,780000,0.07
NYSE,GXP,1999-04-08,24.00,24.00,23.62,23.94,94900,12.46
NYSE,GPI,2001-05-30,25.08,25.08,23.88,24.44,125100,23.21
NYSE,GJS,2007-12-10,16.17,16.17,16.17,16.17,000,15.07
NYSE,GES,2008-02-06,35.11,36.26,34.34,34.42,1100100,33.46
NYSE,GLT,2000-12-04,11.69,11.98,11.27,11.73,40900,8.50
NYSE,GFF,1998-12-09,9.94,9.94,9.69,9.69,251400,8.81
NYSE,GSI,2007-02-15,3.10,3.14,2.90,3.14,57300,3.14
NYSE,GFI,1994-12-14,14.19,14.38,14.13,14.25,29400,10.76
NYSE,GXP,1997-02-21,28.87,29.12,28.87,29.12,65600,13.34
NYSE,GT,1992-05-27,68.87,69.62,68.62,68.75,866600,25.95
NYSE,GRO,2008-07-21,4.50,4.85,4.38,4.85,183300,4.85
NYSE,GPK,2004-11-02,7.10,7.35,6.76,6.90,102700,6.90
NYSE,GLW,2007-07-31,24.73,24.74,23.80,23.84,15820000,23.12
NYSE,GGT,2002-06-24,7.45,7.45,7.25,7.35,26400,5.71
NYSE,GD,1977-02-08,22.43,22.43,21.91,22.29,664000,0.08
NYSE,GGT,1997-03-19,4.67,4.75,4.59,4.67,70100,1.78
NYSE,GWW,2006-01-18,74.50,75.13,74.29,74.84,282500,69.35
NYSE,GEP,2006-08-31,22.72,22.72,22.72,22.72,500,19.04
NYSE,GSL,2009-04-15,2.18,2.25,2.01,2.16,63000,2.16
NYSE,GLW,2005-06-17,16.75,16.77,16.45,16.62,12191400,16.12
NYSE,GPN,2009-09-25,45.55,45.82,44.74,44.76,412100,44.74
NYSE,GEF,2007-05-04,54.94,55.72,54.60,55.72,253800,51.60
NYSE,GKM,2010-01-07,20.29,20.40,20.19,20.27,24800,19.82
NYSE,GG,2005-03-11,15.36,15.50,15.32,15.39,1789200,14.89
NYSE,GEF,2004-05-28,35.09,35.87,35.07,35.60,74600,15.76
NYSE,GLF,2004-05-17,13.50,13.68,13.17,13.44,92900,13.44
NYSE,GIS,1991-10-17,50.21,50.31,49.33,49.82,265200,14.61
NYSE,GFI,1994-04-25,10.38,10.63,10.38,10.38,20200,7.76
NYSE,GR,2005-09-23,42.26,42.66,42.19,42.55,1131700,39.31
NYSE,GNV,2009-04-15,3.20,3.50,3.18,3.40,21200,3.10
NYSE,GPS,2004-10-12,19.03,19.46,18.85,19.31,5251700,17.73
NYSE,GRT,2001-05-04,15.21,15.25,15.15,15.25,31900,5.94
NYSE,GFA,2009-07-09,16.98,16.98,16.00,16.68,261800,16.68
NYSE,GT,1996-07-18,43.63,44.75,43.25,43.63,336900,35.45
NYSE,GAI,2002-10-25,4.23,4.23,4.23,4.23,200,4.23
NYSE,GTY,1989-06-28,21.75,22.50,21.75,22.00,32200,5.58
NYSE,GJG,2007-03-21,23.76,23.76,23.76,23.76,400,18.79
NYSE,GIM,2002-04-08,6.90,7.00,6.90,6.95,141200,3.50
NYSE,GCI,2009-08-11,8.15,8.18,7.60,7.66,8796100,7.60
NYSE,GAB,2010-01-05,5.13,5.15,5.09,5.15,266500,5.15
NYSE,GGC,1999-10-08,18.06,18.13,17.75,17.94,1600,382.93
NYSE,GR,1995-12-06,60.20,60.75,60.20,60.31,107200,19.69
NYSE,GIS,1991-04-19,44.24,44.24,43.47,43.56,390400,12.57
NYSE,GLT,1998-10-16,11.93,12.17,11.11,11.11,66000,7.16
NYSE,GYC,2006-03-09,22.20,22.39,22.20,22.39,200,17.50
NYSE,GS,2004-12-27,104.95,105.04,103.80,104.20,1716700,99.62
NYSE,GPX,1994-08-19,2.81,2.87,2.81,2.81,1200,11.12
NYSE,GCH,2002-04-11,10.05,10.06,10.00,10.02,25100,5.28
NYSE,GVA,2007-04-18,59.52,59.52,57.93,58.13,612900,56.05
NYSE,GES,2009-09-17,36.81,37.42,36.75,37.14,1249400,37.04
NYSE,GLT,2001-01-24,13.09,13.09,12.83,12.94,50900,9.50
NYSE,GR,1985-09-17,17.80,17.80,17.45,17.59,134000,3.03
NYSE,GY,1997-08-12,13.60,13.91,13.60,13.91,53100,1.18
NYSE,GE,1976-07-30,53.88,54.50,53.25,54.50,3936000,0.39
NYSE,GPX,2009-01-28,3.86,3.91,3.78,3.91,26200,3.91
NYSE,GTI,2007-09-24,18.06,18.06,17.14,17.36,914100,17.36
NYSE,GT,1983-09-12,30.75,30.87,30.00,30.00,230000,7.95
NYSE,GXP,1990-01-05,34.50,34.50,34.00,34.25,66400,4.91
NYSE,GPD,2004-12-03,25.21,25.35,25.21,25.35,6300,18.70
NYSE,GAM,1993-05-24,25.12,25.38,25.12,25.38,15900,6.17
NYSE,GE,1972-05-31,69.50,69.50,68.75,68.75,1656000,0.43
NYSE,GJB,2005-12-08,23.83,23.83,23.82,23.83,500,18.44
NYSE,GIM,2002-09-23,7.27,7.30,7.21,7.25,178100,3.79
